,id,app_name,prime_genre,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating
19,284993459,"Shazam - Discover music, artists, videos & lyrics",Music,147093504,USD,0,402925,136,4,4.5,11.0.3,12+
20,285005463,Crash Bandicoot Nitro Kart 3D,Games,10735026,USD,2.99,31456,4178,4,3.5,1.0.0,4+
21,285946052,iQuran,Reference,70707916,USD,1.99,2929,966,4.5,4.5,3.3,4+
22,285994151,:) Sudoku +,Games,6169600,USD,2.99,11447,781,5,5,5.2.6,4+
23,286058814,"Yahoo Sports - Teams, Scores, News & Highlights",Sports,130583552,USD,0,137951,131,4,4.5,6.9,4+
24,286070473,Mileage Log | Fahrtenbuch,Business,71203840,USD,5.99,8,0,4.5,0,9.0.5,4+
25,286799607,Cleartune - Chromatic Tuner,Music,11423008,USD,3.99,3241,297,4,4,2.1.3,4+
26,286906691,Lifesum  Inspiring healthy lifestyle app,Health & Fitness,188017664,USD,0,5795,12,3.5,4,8.4.1,4+
27,286911400,Hangman.,Games,4765696,USD,0,42316,248,3,3.5,2.0.6,9+
28,288113403,iTranslate - Language Translator & Dictionary,Productivity,287933440,USD,0,123215,25,3.5,5,10.5.4,4+
29,288120394,TouchOSC,Music,4263936,USD,4.99,782,7,4,3.5,1.9.8,4+
30,288419283,RadarScope,Weather,172772352,USD,9.99,3449,23,4,4.5,3.4.1,4+
31,288429040,LinkedIn,Social Networking,273844224,USD,0,71856,62,3.5,4.5,9.1.32,4+
32,289084315,Period Tracker Deluxe,Health & Fitness,40216576,USD,1.99,13350,489,4.5,5,9.6,12+
33,289446241,Election 2016 Map,Entertainment,2386944,USD,0.99,137,0,3,0,5,4+
34,289523017,Blackjack by MobilityWare,Games,105431040,USD,0,180087,1101,3.5,4.5,5.5.3,12+
35,289894882,White Noise,Health & Fitness,44129280,USD,0.99,33426,299,4,5,7.2,4+
36,290638154,iHeartRadio  Free Music & Radio Stations,Music,116443136,USD,0,293228,110,4,3,8.0.0,12+
37,290807369,Line Rider iRide™,Entertainment,1646592,USD,1.99,21609,69,3.5,2.5,2.4,9+
38,290986013,Deliveries: a package tracker,Utilities,30016512,USD,4.99,4684,10,4,4,8.0.3,4+
39,291430598,Hurricane Pro,Weather,29518848,USD,2.99,2104,0,4.5,0,5.2,17+
40,292421271,Fieldrunners,Games,66872320,USD,2.99,41633,6,4,3,1.7.177604,9+
41,292628469,Juxtaposer,Photo & Video,45229056,USD,2.99,3610,7,4.5,5,3.8.2,4+
42,292738169,Deezer - Listen to your Favorite Music & Playlists,Music,127470592,USD,0,4677,12,3,4,6.19.0,12+
43,293118835,iStellar,Navigation,44241920,USD,3.99,30,0,3.5,0,2.9.0,4+
44,293523031,Sonos Controller,Music,107983872,USD,0,48905,2691,4.5,4.5,7.2,4+
45,293573778,Avertinoo,Navigation,8044544,USD,4.99,32,0,3,0,3.9.2,4+
46,293622097,Google Earth,Travel,37214208,USD,0,446185,1359,3.5,3.5,7.1.6,4+
47,293760823,iFart - The Original Fart Sounds App,Entertainment,60320768,USD,1.99,21825,10,3,4,4.0.8,9+
48,293778748,PAC-MAN,Games,100849664,USD,0,508808,99,3,4.5,6.3.5,4+
49,294056623,FOX Sports Mobile,Sports,72748032,USD,0,57500,103,3,4,3.5.13,4+
50,294536447,First Words Animals,Games,32164864,USD,1.99,2576,4,4,5,7,4+
51,294631159,WeatherPro,Weather,69079040,USD,1.99,1572,34,4,4.5,4.8.2,4+
52,294934058,HotSchedules,Business,82037760,USD,2.99,3292,2,3,5,4.56.1,4+
53,295430577,Star Walk - Find Stars And Planets in Sky Above,Education,150195200,USD,4.99,8932,55,4.5,5,7.2.3,4+
54,295646461,"The Weather Channel: Forecast, Radar & Alerts",Weather,199734272,USD,0,495626,5893,3.5,4.5,8.11,4+
55,295759189,Big Day - Event Countdown,Lifestyle,13156352,USD,0.99,812,14,3,4,8.2.0,4+
56,295775656,12 Steps AA Companion - Alcoholics Anonymous,Lifestyle,30367744,USD,2.99,1583,2,3.5,4.5,2.5.9.2,12+
57,296581815,OpenTable - Restaurant Reservations,Food & Drink,93420544,USD,0,113936,150,4.5,5,10.18.0,4+
58,297244048,VLC Remote,Entertainment,31505408,USD,4.99,2027,2,4,5,9.3,4+
59,297332787,gFlashPro - Flashcards & Tests,Education,25997312,USD,3.99,768,4,4,4,7.1,4+
60,297368629,Lose It!  Weight Loss Program and Calorie Counter,Health & Fitness,182054912,USD,0,373835,402,4,4.5,8.0.2,4+
61,297430070,Target,Shopping,138754048,USD,0,108131,13,3,2,8.21.0,4+
62,297606726,Fish Tycoon,Games,13564835,USD,0.99,18943,1787,3.5,4.5,1.1.0,4+
63,297606951,"Amazon App: shop, scan, compare, and read reviews",Shopping,133688320,USD,0,126312,22,3.5,3,9.10.0,4+
64,297694601,Touchgrind,Games,55205888,USD,4.99,35735,378,4,4.5,1.5.1,4+
65,298127110,ProPresenter Remote,Utilities,46922752,USD,4.99,410,7,3,2.5,4.8.1,4+
66,298206806,iReal Pro - Music Book & Play Along,Music,63283200,USD,12.99,1390,143,4.5,5,7.0.1,4+
67,298596830,NRJ Radio,Music,53426176,USD,0,38,2,3.5,5,5.2.6,4+
68,298867247,Chase Mobile,Finance,39505920,USD,0,233270,14625,4.5,4.5,2.61,4+
69,299515267,Allrecipes Dinner Spinner,Food & Drink,36399104,USD,0,109349,1540,3.5,5,6.3,12+
70,299949744,MotionX GPS,Navigation,56481792,USD,1.99,14970,24,3.5,4.5,24.2,4+
71,300048137,AccuWeather - Weather for Life,Weather,181941248,USD,0,144214,2162,3.5,4,10.4.1,4+
72,300238550,"Mint: Personal Finance, Budget, Bills & Money",Finance,162891776,USD,0,232940,683,4,4.5,5.9.0,4+
73,300255638,ABC News - US & World News + Live Video,News,98108416,USD,0,48407,20,3,3.5,5.16,12+
74,300265786,Rowmote: Remote Control for Mac,Utilities,54088704,USD,0.99,5531,37,3.5,2.5,4.3,4+
75,300590611,Peekaboo Barn,Education,50155520,USD,1.99,3393,77,4,4,5.1.0,4+
76,300704847,Speedtest by Ookla,Utilities,23936000,USD,0,65016,274,3.5,5,3.8.2,4+
77,301387274,Pocket God,Entertainment,145293312,USD,0.99,187529,1071,4,4,1.48.2,9+
78,301521403,Nike+ Training Club - Workouts & Fitness Plans,Health & Fitness,140367872,USD,0,33969,466,3.5,5,5.4.1,4+
79,301724680,Citi Mobile®,Finance,281244672,USD,0,48822,193,3.5,4,8.5.0,4+
80,302049354,Phase 10 Pro - Play Your Friends!,Games,66695168,USD,1.99,59155,101,4.5,2.5,3.2.0,4+
81,302584613,"Kindle  Read eBooks, Magazines & Textbooks",Book,169747456,USD,0,252076,80,3.5,4.5,5.11,4+
82,303058767,MASH,Games,41691136,USD,1.99,4913,1,4,4,3.3.2,9+
83,303337299,Wedding Dash Deluxe,Games,55803904,USD,0.99,16567,1155,4.5,4.5,2.29.13,4+
84,303849934,Beer Pong Game,Games,188956672,USD,0,187315,9,2,4,17.05.15,17+
85,304731501,Tempo - Metronome with Setlists,Music,22185984,USD,2.99,4781,1,4.5,5,3.9.2,4+
86,304770340,Skat,Games,66160640,USD,3.99,94,4,4.5,4.5,11.0.10,4+
87,304871603,Color Splash,Photo & Video,28135424,USD,0.99,29554,55,4,5,3.6.1,4+
88,304871622,Zombieville USA,Games,27962441,USD,0.99,32988,2489,4,4,1.7,12+
89,304878510,Skype for iPhone,Social Networking,133238784,USD,0,373519,127,3.5,4,6.35.1,4+
90,305343404,Tumblr,Social Networking,151573504,USD,0,334293,919,4,4,8.6,17+
91,305557780,iSwap Faces,Photo & Video,27069440,USD,1.99,2302,3,3.5,5,5.1,4+
92,305939712,Match™ - #1 Dating App.,Social Networking,101259264,USD,0,60659,57,3,2.5,17.05.01,17+
93,306169895,Tozzle - Toddler's favorite puzzle,Games,168192000,USD,2.99,2562,10,4,4.5,5.1,4+
94,306257910,HomeBudget with Sync,Finance,17485824,USD,4.99,3042,6,3.5,4,3.3.0,4+
95,306375551,Wind Meter,Weather,5234688,USD,0.99,338,12,2.5,2,5,4+
96,306468004,Map My Run+ - GPS Running & Workout Tracker,Health & Fitness,237913088,USD,2.99,16434,3,4.5,4.5,17.5.5,4+
97,306561234,Map My Ride+ - GPS Cycling & Route Tracker,Health & Fitness,233513984,USD,2.99,10046,7,4.5,5,17.5.5,4+
98,306621789,"HuffPost - News, Politics & Entertainment",News,110420992,USD,0,29107,85,3,4,11.2,12+
99,306628397,Phrase Party!,Games,47774720,USD,1.99,878,48,4,4.5,8.7.5,17+
100,306937053,Minesweeper Classic,Games,22259712,USD,0.99,1140,20,3.5,3.5,3.6,4+
101,307132353,Sally's Spa,Games,431771648,USD,2.99,35074,403,4.5,4,3.3.0,4+
102,307184892,"CBS Sports App - Sports Scores, News, Stats, Watch",Sports,120357888,USD,0,59639,11,3,2.5,10.2.2,17+
103,307219387,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,Health & Fitness,90828800,USD,4.99,2913,357,4,5,7.4,4+
104,307354030,iSwap Faces LITE,Photo & Video,30796800,USD,0,39722,0,3,0,5.1,4+
105,307386350,DIRECTV,Entertainment,151397376,USD,0,81006,25,3.5,3,4.9.705,4+
106,307569751,NYTimes Crossword - Daily Word Puzzle Game,Games,46880768,USD,0,53465,204,3.5,4,2.8.1,4+
107,307727765,Doodle Jump,Games,48741376,USD,0.99,395261,88,4.5,4.5,3.17.6,4+
108,307741537,LEDit  The LED Banner App,Utilities,17145856,USD,1.99,2021,147,4.5,4.5,3.5.1,4+
109,307764057,niconico,Entertainment,25808896,USD,0,182,0,3,0,6.52,17+
110,307906541,Fandango Movies - Times + Tickets,Entertainment,81924096,USD,0,291787,589,4,5,8.6,4+
111,308111628,iCab Mobile (Web Browser),Utilities,19451904,USD,1.99,2441,4,4,5,9.9,17+
112,308339980,iRagdoll - Ragdoll Physics,Games,118683648,USD,0.99,1372,25,4,4,1.8.3,12+
113,308368164,Proloquo2Go - Symbol-based AAC,Education,723764224,USD,249.99,773,10,4,3.5,5.0.1,4+
114,308750436,Dictionary.com Dictionary & Thesaurus,Reference,111275008,USD,0,200047,177,4,4,7.1.3,4+
115,308834491,20 Minutes.fr - l'actualité en continu,News,109616128,USD,0,112,0,3.5,0,5.0.11,12+
116,309025938,The Masters Tournament,Sports,120725504,USD,0,148160,63,4.5,3.5,9.0.701,4+
117,309172177,myAT&T,Utilities,68491264,USD,0,108507,628,3,3,5.3,4+
118,309187846,SFR TV,Entertainment,122153984,USD,0,46,0,3,0,7.3.0,4+
119,309465525,"Shutterfly: Prints, Photo Books, Cards Made Easy",Photo & Video,122315776,USD,0,51427,874,4,5,7.7.0,4+
120,309527804,StickWars,Games,17010688,USD,0.99,53821,165,3.5,4,1.8.9,12+
121,309735670,Indeed Job Search,Business,3691520,USD,0,38681,563,4,4.5,4.3,4+
122,310303959,World Cup Table Tennis™,Games,31387648,USD,0.99,17776,6,4,5,4.6.1,4+
123,310633997,WhatsApp Messenger,Social Networking,135044096,USD,0,287589,73088,4.5,4.5,2.17.22,4+
124,310636441,"iStudiez Pro  Homework, Schedule, Grades",Productivity,55815168,USD,2.99,7308,15,4,4.5,1.9.1,4+
125,310738695,Zillow Real Estate - Homes for Sale & for Rent,Lifestyle,132632576,USD,0,342969,88478,4.5,4.5,10.4.5,4+
126,310951782,2XL Supercross,Games,270729216,USD,4.99,6093,3,4,5,1.2.1,4+
127,311466554,Pocket Tanks Deluxe,Games,39827456,USD,4.99,5452,39,4.5,4.5,2.3.1,9+
128,311548709,Wells Fargo Mobile,Finance,57328640,USD,0,43064,216,3,2.5,3.55,4+
129,311762416,radio.de - Der Radioplayer,Music,40717312,USD,0,64,9,4.5,5,4.0.5,4+
130,311785642,AutoScout24 - mobile used & new car market,Productivity,141136896,USD,0,220,2,4.5,5,9.1.10,4+
131,311972587,Sky Burger - Build & Match Food Free,Games,146228224,USD,0,114096,2157,4.5,4,3.0.3,4+
132,312220102,MindNode  Delightful Mind Mapping,Productivity,52294656,USD,9.99,1296,4,4,5,4.5.3,4+
133,312266675,Packing Pro,Travel,16332800,USD,2.99,1293,31,4,5,12.2,4+
134,312325565,USAA Mobile,Finance,164382720,USD,0,19946,13,4,2.5,7.32.3,4+
135,312343159,The Moron Test,Entertainment,45712384,USD,0,88613,392,4,4.5,6.3.1,4+
136,313199385,Sunday Lawn,Games,16086016,USD,0.99,107727,55,3.5,4.5,1.41.1,4+
137,314303518,Peggle Classic,Games,223805440,USD,0.99,21416,974,4.5,4.5,1.7.2,4+
138,314506629,SmartGo Player,Games,22159360,USD,2.99,533,27,4,4,2.5.1,4+
139,314652382,I Am T-Pain 2.0,Music,20542280,USD,2.99,32650,754,3.5,3.5,2.0.4,12+
140,314716233,TextNow - Unlimited Text + Calls,Social Networking,130637824,USD,0,164963,69,3.5,4,8.5.1,4+
141,314819528,Boating Weather,Weather,8900608,USD,1.99,141,15,3,3,4.5,4+
142,314855255,Best Buy,Shopping,180500480,USD,0,80424,46,4,4.5,10.11.0,4+
143,314864297,I Dig It,Games,19853312,USD,0.99,17190,180,4,4.5,1.12,4+
144,315021242,Unblock Me,Games,42926080,USD,0.99,7973,127,4,5,1.5.95,4+
145,316025912,Sonic The Hedgehog,Games,36692992,USD,2.99,19621,1191,4,4.5,2.1.2,4+
146,316227296,10 Pin Shuffle Pro Bowling,Games,36647936,USD,3.99,7315,138,4,4.5,2.01,4+
147,316391924,Sky News,News,91697152,USD,0,118,0,3,0,4.6,12+
148,317469184,"ESPN: Get scores, news, alerts & watch live sports",Sports,51538944,USD,0,290996,150,3.5,3.5,5.7.1,4+
149,317809458,LiveATC Air Radio,Travel,8302592,USD,3.99,2785,90,4,4,1.9.0,4+
150,317904170,The Sims 3,Games,430128128,USD,6.99,54408,65,3.5,2,1.4.10,12+
151,318304532,"Chess Pro with Coach - Learn,Play & Online Friends",Games,69960704,USD,9.99,8138,107,4,4.5,2.89,4+
152,318592730,Guess My Age  Math Magic,Education,767126,USD,0,123190,68841,3,3,1.1,4+
153,318639200,Crush the Castle,Games,12996628,USD,0.99,23810,582,3.5,4,1.5,12+
154,319204550,2016 U.S. Open Golf Championship,Sports,139545600,USD,0,54192,32,4,2,8.0.263,4+
155,319284643,"The Championships, Wimbledon 2016 - Tennis Grand Slam",Sports,130394112,USD,0,20953,481,4,4,8.1,4+
156,319295332,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,Music,101925888,USD,9.99,71609,99,4.5,4,11.9,12+
157,319740707,NBC News,News,52951040,USD,0,32881,7,3.5,2,5.11.0,12+
158,319881193,"Grindr - Gay and same sex guys chat, meet and date",Social Networking,80409600,USD,0,23201,14,2.5,2,3.9.1,17+
159,320029256,Whole Foods Market,Shopping,137312256,USD,0,17906,4,3,3,8.3.17,4+
160,320279293,NAVIGON Europe,Navigation,144412672,USD,74.99,927,3,3.5,2.5,2.17,4+
161,320300350,Virtual Families,Games,27746273,USD,1.99,18920,3014,3.5,4.5,1.1.2,9+
162,320596872,Sparkasse+,Finance,119648256,USD,0.99,30,0,3,0,3.1.3,4+
163,320599923,Sparkasse - Your mobile branch,Finance,119574528,USD,0,77,1,3,4,3.1.3,4+
164,320606217,Sleep Cycle alarm clock,Health & Fitness,79315968,USD,0,104539,11,4.5,4.5,5.4.1,4+
165,320636131,FACEinHOLE®,Photo & Video,12818432,USD,0.99,4016,1,4,5,5.7,12+
166,320650307,Harvest - Select the Best Produce,Food & Drink,18165760,USD,1.99,299,28,4,4.5,3.1,4+
167,321369231,WORMS,Games,253834240,USD,1.99,5758,9,4,3,2.6,12+
168,321756558,Pixel Starships™ : 8Bit MMORPG,Games,69083136,USD,0,5565,140,4.5,4.5,0.39,9+
169,322423174,Traffic Rush,Games,8573952,USD,0.99,213092,51,3.5,4.5,1.45.1,9+
170,322439990,MyRadar NOAA Weather Radar Forecast,Weather,127284224,USD,0,150158,3392,4.5,5,5.1.4,4+
171,322523436,Resident Evil 4: PLATINUM,Games,81374398,USD,4.99,6046,446,4,4,1.04.10,12+
172,323229106,"Waze - GPS Navigation, Maps & Real-time Traffic",Navigation,94139392,USD,0,345046,3040,4.5,4.5,4.24,4+
173,323242790,Cartoon Wars,Games,13216994,USD,0.99,35930,262,3.5,4,114,12+
174,323438913,Moto X Mayhem,Games,21010210,USD,0.99,22557,526,4,4,1.8.7,4+
175,324266640,Fantasy Football Manager - FFM for FPL,Sports,35998720,USD,0.99,292,1,3,5,9.3,17+
176,324684580,Spotify Music,Music,132510720,USD,0,878563,8253,4.5,4.5,8.4.3,12+
177,324887734,McDo France,Food & Drink,37001216,USD,0,22,0,3.5,0,4.0.16,4+
178,325462190,PGA Championship 2016  Baltusrol Golf Club,Sports,64147456,USD,0,10472,58,3.5,2,8.1,17+
179,325658560,BFMTV : l'info en continu,News,100779008,USD,0,115,70,4,5,5.0.3,17+
180,325683306,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",Weather,123718656,USD,1.99,13915,205,4.5,5,5.1.4,4+
181,325954996,Spider:  The Secret of Bryce Manor,Games,126312448,USD,1.99,6780,68,4,4.5,1.5,9+
182,325962257,My Measures PRO,Productivity,79882240,USD,7.99,1701,35,4,4.5,6.06,4+
183,326082487,Food Additives Checker (E Numbers),Health & Fitness,6418432,USD,1.99,6,0,3.5,0,4.1.2,4+
184,326161564,SFR Mon Compte,Utilities,74093568,USD,0,19,0,3,0,6.4.0,4+
185,326574411,Baby Connect (Activity Log),Medical,12937216,USD,4.99,3483,79,4.5,5,5.4.3,4+
186,326876192,Epson iPrint,Photo & Video,53388288,USD,0,2838,26,3,2.5,6.3.1,4+
187,326885152,Mad Libs,Entertainment,118498304,USD,0,117889,725,3,4.5,3.3.3,4+
188,326979430,BATTLE BEARS: Zombies!,Games,103197675,USD,0.99,50710,309,3.5,4,1.6.7,9+
189,327193945,Hurricane Tracker,Weather,24574976,USD,2.99,3960,0,4.5,0,5,4+
190,327243363,NFL Sunday Ticket,Entertainment,96093184,USD,0,24258,305,3,2.5,2.6.042,4+
191,327455869,2016 US Open Tennis Championships,Sports,77700096,USD,0,37522,39,4,3,8.0.353,4+
192,327630330,Dropbox,Productivity,180804608,USD,0,49578,16,3.5,3,50.2,4+
193,328011357,Wa Kingyo - Goldfish Pond,Entertainment,56397824,USD,0.99,626,44,4,5,2.0.3,4+
194,328205875,Monkey Preschool Lunchbox,Games,229272576,USD,1.99,9286,49,4,3.5,4.02,4+
195,328415391,Yahoo Fantasy Sports,Sports,131000320,USD,0,190670,19,3.5,2.5,9.1.0,17+
196,329127297,Gaia GPS Classic,Navigation,53097472,USD,19.99,2429,8,4.5,3.5,10.9.13,4+
197,329174056,iLoan Calc (Loan calculator),Finance,3375104,USD,3.99,0,0,0,0,5.1.0,4+
198,329541503,Geocaching®,Navigation,108166144,USD,0,12811,134,3.5,1.5,5.3,4+
199,329670577,Camera+,Photo & Video,89187328,USD,1.99,32338,261,4,4.5,9.1,4+
200,329703516,Alter Ego,Games,13647872,USD,4.99,262,43,4,4,1.3.0,12+
201,329887910,Parking Mania,Games,123544576,USD,0.99,9657,47,4.5,4.5,2.5.0,4+
202,329981776,Sudoku⁺,Games,1608704,USD,2.99,18332,1007,4.5,5,3.4,4+
203,330376830,Period Tracker Lite,Health & Fitness,50169856,USD,0,53620,2872,4,5,9.5.1,12+
204,330803072,Camera Plus: For Macro Photos & Remote Photography,Photo & Video,101181440,USD,0.99,38533,36,2.5,3.5,4.5.4,4+
205,331004675,The perfect Egg timer,Food & Drink,15329280,USD,0.99,40,0,3.5,0,1.8.9,4+
206,331177703,Letter Quiz - alphabet tracing for kids,Games,31845376,USD,1.99,472,0,4,0,2.4,4+
207,331177714,Starbucks,Food & Drink,135032832,USD,0,303856,7027,4.5,4.5,4.3.5,4+
208,331271904,Bloons TD,Games,8432232,USD,2.99,7941,76,4,3.5,1.2.1,4+
209,331308914,Weight Watchers,Health & Fitness,230720512,USD,0,136833,64,3.5,4.5,5.9.0,12+
210,331786748,"CNN: Breaking US & World News, Live Video",News,80211968,USD,0,112886,298,3.5,1.5,5.3,12+
211,331804452,Gilt,Shopping,148201472,USD,0,26353,3,3.5,2.5,5.1.3,4+
212,332568551,TRUTH or DARE!!! - FREE,Entertainment,20795392,USD,0,171055,31,3,3.5,5,12+
213,333180061,Canabalt,Games,27934720,USD,2.99,4540,140,4,4.5,2.31,9+
214,333206289,Alipay - Makes Life Easy,Lifestyle,208309248,USD,0,1926,2,3,3,10.0.15,4+
215,333246187,Scanner911 Pro,News,33812480,USD,3.99,14345,100,4,2.5,4,12+
216,333263435,Daily Teachings,Lifestyle,20298752,USD,4.99,1340,288,4.5,5,1.7.3,4+
217,333710667,Scanner Pro - PDF document scanner app with OCR,Business,101346304,USD,3.99,31912,154,4.5,5,7.1.3,4+
218,333903271,Twitter,News,210569216,USD,0,354058,452,3.5,4,6.79.1,17+
219,334235181,"Trainline UK: Live Train Times, Tickets & Planner",Travel,110198784,USD,0,248,0,4,0,22,4+
220,334256223,CBS News - Watch Free Live Breaking News,News,78047232,USD,0,11691,44,3.5,4.5,3.5.1,12+
221,334264405,iOvilus,Entertainment,9946112,USD,1.99,381,6,3,2,iOV 2.1.3,12+
222,334503000,The Impossible Quiz!,Entertainment,44652544,USD,0,18884,451,4,4.5,1.62,9+
223,334989259,WolframAlpha,Reference,30369792,USD,2.99,7410,82,4,4.5,1.7.3,9+
224,335029050,Catan,Games,376171520,USD,1.99,15175,308,4,4,4.6.2,4+
225,335047649,ScanBizCards Business Card Reader,Business,96815104,USD,0.99,3166,34,4,4.5,6.08,4+
226,335364882,"Walgreens  Pharmacy, Photo, Coupons and Shopping",Shopping,169138176,USD,0,88885,333,4.5,4,6.5,12+
227,335545504,King of Dragon Pass,Games,364490752,USD,9.99,882,85,5,5,2.3.2,12+
228,335709058,Stylebook,Lifestyle,44135424,USD,3.99,1729,599,4,4.5,7,17+
229,335744614,NBA,Sports,112074752,USD,0,43682,19,3.5,2.5,2013.4.3,4+
230,335862325,Blower,Entertainment,98942976,USD,0.99,861,70,2,2.5,4.2,4+
231,335875911,My Cycles Period and Ovulation Tracker,Health & Fitness,77686784,USD,0,7469,68,3.5,5,5.10.3,12+
232,335989871,"Kmart  Download Now, Shop Online & Pick Up Today!",Shopping,94496768,USD,0,4186,6,3.5,4.5,17,4+
233,336347946,DOOM Classic,Games,32796672,USD,4.99,3970,509,4,4,2.7,17+
234,336353151,SoundCloud - Music & Audio,Music,105009152,USD,0,135744,594,4,4.5,5.6.0,4+
235,336435697,imo video calls and chat,Social Networking,22562816,USD,0,18841,0,4,0,7.0.84,4+
236,336477530,Plane Finder - Flight Tracker,Navigation,52632576,USD,3.99,1438,171,4,4,9.4.1,4+
237,336599882,"Runtastic Running, Jogging and Walking Tracker",Health & Fitness,151388160,USD,0,10298,7,4.5,3.5,7.3,4+
238,336683524,iFiles,Productivity,47323136,USD,0.99,1842,23,3.5,2.5,1.17.11,4+
239,336689375,TeachMe: Kindergarten,Education,59846656,USD,1.99,2548,5,4,4,4.2.2,4+
240,336834650,Moorhuhn Deluxe - Crazy Chicken,Games,27807744,USD,0.99,319,12,3,5,2.8.0,12+
241,336860594,Victoria’s Secret  The Sexiest Bras & Lingerie,Shopping,60976128,USD,0,34507,38,3.5,5,5.2.1,12+
242,337021781,MONOPOLY Game,Games,194386944,USD,0.99,26482,331,3.5,2.5,1.4.04,4+
243,337056601,n-tv Nachrichten,News,49470464,USD,0,273,0,3,0,5.25,12+
244,337288863,Shazam Encore,Music,147118080,USD,2.99,8331,24,4,3.5,11.0.2,12+
245,337402021,Harry Potter: Spells,Games,125411328,USD,0.99,17023,916,4,4.5,2.2,4+
246,337462979,First Words Deluxe,Games,63316992,USD,4.99,1101,8,4,4,7,4+
247,337571576,Clay Hunt,Games,15313920,USD,0.99,1193,1,4,2,3.5.3,17+
248,337710261,Dream Team - be your own fantasy football manager,Sports,69816320,USD,0,35,0,2.5,0,12.8.0,17+
249,337866370,Jet Car Stunts,Games,32848910,USD,1.99,4088,436,4,4.5,1.5.0,4+
250,338057689,Call of Duty: Zombies,Games,52821364,USD,4.99,63943,31264,4,4,1.5.0,17+
251,338137227,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",Shopping,146507776,USD,0,70286,51,3,4,17.8,4+
252,338761996,AirWatch Agent,Business,24747008,USD,0,1150,0,2.5,0,5.5,4+
253,338828953,Shop Savvy Barcode Scanner - Price Compare & Deals,Shopping,89517056,USD,0,54630,280,2.5,4.5,12,4+
254,339440515,Voice Changer Plus,Entertainment,40722432,USD,0,98777,233,3,4,5.01,4+
255,339462921,CatPaint,Photo & Video,73332736,USD,0.99,649,11,4,4,3.5.1,4+
256,339532909,Redbox,Entertainment,83906560,USD,0,60236,58,3,4.5,5.24,12+
257,340769953,Trenches,Games,37340259,USD,0.99,26732,1428,4,4.5,1.9.3,17+
258,340779800,The Christmas List,Shopping,26137600,USD,1.99,2722,1,4.5,5,2.1,4+
259,341036067,Macy's,Shopping,107816960,USD,0,11013,76,3.5,5,5.11.0,4+
260,341232718,Calorie Counter & Diet Tracker by MyFitnessPal,Health & Fitness,152700928,USD,0,507706,181,4.5,4.5,7.16,4+
261,341329033,BlaBlaCar - Trusted Carpooling,Travel,112024576,USD,0,397,0,4.5,0,4.10.1,4+
262,341691394,Refills Calendar - Scheduler - Note,Productivity,35864576,USD,9.99,196,3,4,5,4.0.1,4+
263,341776037,5-0 Radio Pro Police Scanner (Extra Feeds),News,49594368,USD,3.99,24553,2620,4,4.5,39.1,9+
264,342115564,Hipstamatic,Photo & Video,114081792,USD,2.99,12557,6,3.5,5,337,4+
